zip_code,latitude,longitude,affordability,property_tax,school_quality,crime_rate,walkability,commute_time
43001,40.08794,-82.61289,0.1687511973145792,1238,39.18666666666667,0.00017774617845716317,34.8,1192
43003,40.41017,-82.96866,0.22594590531205835,1118,32.36,0.00017774617845716317,38.5,1418
43004,40.01664,-82.80025,0.25095824852271137,1666,45.055,2.784584539986634e-05,970.2,13381
43006,40.4591,-82.14554,0.20752329502484995,806,57.37,0.00017774617845716317,8.9,120
43008,39.93348,-82.4817,0.24307423268165015,924,39.18666666666667,0.00017774617845716317,621.9,1197
43009,40.17188,-83.64234,0.2638037743978483,987,66.00333333333334,0.00017774617845716317,23.5,964
43010,39.99964,-83.6219,0.24771656862703534,1036,48.63125,0.0034965034965034965,468.5,97
43011,40.30946,-82.68456,0.22385479291319743,1435,73.09333333333333,0.00017774617845716317,33.7,3162
43013,40.23101,-82.6895,0.26299202326632,1630,39.18666666666667,0.00017774617845716317,32.3,430
43014,40.46646,-82.25242,0.24153452553021662,864,54.83,0.00017774617845716317,23.1,1481
43015,40.29812,-83.06049,0.21386268422336369,1434,42.79,0.00017774617845716317,178.2,25459
43016,40.09732,-83.15535,0.21846402349499167,1807,38.99166666666667,2.784584539986634e-05,904.4,20093
43017,40.1189,-83.13314,0.20123308222305203,2064,62.068,2.784584539986634e-05,990.6,17521
43018,39.95377,-82.67613,0.19986211792315933,-666666666,39.18666666666667,0.00017774617845716317,51.1,25
43019,40.49527,-82.57831,0.2501525139051126,913,23.02333333333333,0.00017774617845716317,33.4,4139
43021,40.20301,-82.88476,0.23890115891091143,2228,69.12,0.00017774617845716317,147.5,5751
43022,40.33765,-82.34135,0.23936264735785467,829,2.95,0.00017774617845716317,33.2,1658
43023,40.07603,-82.53061,0.23338804867657612,1670,30.035,0.00017774617845716317,121.9,5523
43025,39.96653,-82.51529,0.1906649873226138,1176,39.18666666666667,0.00017774617845716317,59.9,2350
43026,40.02197,-83.18472,0.254118897767732,1642,58.444,2.784584539986634e-05,707.2,31758
43028,40.40335,-82.29783,0.22523205382330078,925,25.79,0.00017774617845716317,61.5,2829
43029,40.09598,-83.45408,0.2916416337725224,686,41.558,0.00017774617845716317,8.6,238
43031,40.16292,-82.66378,0.21184903282164194,1419,61.81333333333333,0.00017774617845716317,63.1,6720
43033,39.96098,-82.59984,0.29217820210046275,1068,39.18666666666667,0.00017774617845716317,219.5,194
43035,40.18622,-82.9969,0.2700004242156678,2178,47.596999999999994,0.00017774617845716317,703.6,14239
43036,40.3524,-83.26325,0.35571639566600055,813,40.21976190476191,0.00017774617845716317,772.4,150
43037,40.28062,-82.31654,0.19546910276896473,-666666666,29.665,0.00017774617845716317,31.6,85
43040,40.26115,-83.35812,0.22682885970679292,1339,41.26285714285715,0.00017774617845716317,87.2,14908
43044,40.05145,-83.56423,0.24732975266819474,945,26.076666666666664,0.00017774617845716317,24.2,2260
43045,40.16932,-83.44975,0.2937342160783719,1246,81.94333333333333,0.00017774617845716317,17.1,989
43046,39.89917,-82.53844,0.18902773770877665,1118,69.6,0.0002633658151171978,45.3,1805
43050,40.37188,-82.49536,0.249124642999531,910,33.54,0.00017774617845716317,76.1,13130
43054,40.07998,-82.79253,0.2238084622551436,2254,52.22,2.784584539986634e-05,417.0,12783
43055,40.1168,-82.37672,0.23222569705212495,913,47.32,0.00017774617845716317,214.8,26210
43056,40.00895,-82.33057,0.2393119426112589,939,38.410000000000004,0.00017774617845716317,77.6,7636
43060,40.21978,-83.57295,0.22631102611666062,936,66.7,0.00017774617845716317,35.3,1082
43061,40.28775,-83.20256,0.2589197064839286,1553,44.94,0.00017774617845716317,44.4,2207
43062,40.00556,-82.67964,0.23396484014610755,1449,38.446666666666665,0.00017774617845716317,165.5,13589
